ID,Smiles,IC50 (nM),canonical_smiles,Molecular Weight,LogP,num_H_acceptors,num_H_Donors
CHEMBL4644165,CC(=O)N1CCN(Cc2ccc(O)c(C(=O)/C=C/c3cccc(-c4ccccc4)c3C)c2)CC1,14400.0,CC(=O)N1CCN(Cc2ccc(O)c(C(=O)/C=C/c3cccc(-c4ccccc4)c3C)c2)CC1,454.5700000000003,4.927820000000004,4,1
CHEMBL4634609,CC(=O)N1CCN(Cc2ccc3oc(-c4cccc(-c5ccc6c(c5)OCCO6)c4C)cc(=O)c3c2)CC1,10000.0,CC(=O)N1CCN(Cc2ccc3oc(-c4cccc(-c5ccc6c(c5)OCCO6)c4C)cc(=O)c3c2)CC1,510.59000000000043,4.870720000000005,6,0
CHEMBL4639034,Cc1c(-c2ccccc2)cccc1-c1cc(=O)c2cc(CN3CCN(CC4CC4)CC3)ccc2o1,10000.0,Cc1c(-c2ccccc2)cccc1-c1cc(=O)c2cc(CN3CCN(CC4CC4)CC3)ccc2o1,464.6090000000004,5.963020000000006,4,0
CHEMBL4645255,CC(=O)N1CCN(Cc2ccc3oc(-c4cccc(-c5ccccc5)c4F)cc(=O)c3c2)CC1,10000.0,CC(=O)N1CCN(Cc2ccc3oc(-c4cccc(-c5ccccc5)c4F)cc(=O)c3c2)CC1,456.5170000000002,4.930200000000005,4,0
CHEMBL4635288,Cc1c(COc2ccc3cc(CN4C[C@@H](O)C[C@H]4C(=O)O)ccc3c2)cccc1-c1ccccc1,10000.0,Cc1c(COc2ccc3cc(CN4C[C@@H](O)C[C@H]4C(=O)O)ccc3c2)cccc1-c1ccccc1,467.5650000000001,5.414020000000005,4,2
CHEMBL4859569,O=C(O)C1CCN(Cc2ccc3c(Nc4cccc(-c5ccc6c(c5)OCCO6)c4Cl)nsc3c2)C1,73.3,O=C(O)C1CCN(Cc2ccc3c(Nc4cccc(-c5ccc6c(c5)OCCO6)c4Cl)nsc3c2)C1,522.0260000000003,6.038000000000004,7,2
CHEMBL4644681,CCN1CCN(Cc2ccc(O)c(C(=O)/C=C/c3cccc(-c4ccccc4)c3C)c2)CC1,14600.0,CCN1CCN(Cc2ccc(O)c(C(=O)/C=C/c3cccc(-c4ccccc4)c3C)c2)CC1,440.5870000000002,5.401220000000005,4,1
CHEMBL4641119,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCN(CC4CC4)CC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,1000.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCN(CC4CC4)CC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,650.2190000000002,7.643900000000008,7,0
CHEMBL4637382,Cc1c(COc2ccc3cc(CNCCO)ccc3c2)cccc1-c1ccccc1,10000.0,Cc1c(COc2ccc3cc(CNCCO)ccc3c2)cccc1-c1ccccc1,397.5180000000001,5.476120000000006,3,2
CHEMBL4648825,CCN1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccc5c(c4)OCCO5)c3C)cc2OCc2cccc(C#N)c2)CC1,710.5,CCN1CCN(Cc2cc(Cl)c(OCc3cccc(-c4ccc5c(c4)OCCO5)c3C)cc2OCc2cccc(C#N)c2)CC1,624.1810000000002,7.253800000000009,7,0
CHEMBL4646181,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCNCC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,232.9,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCNCC3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,596.1270000000003,6.521500000000007,7,1
CHEMBL4641527,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNCC(=O)O)cc2Cl)cccc1-c1ccccc1,10.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNCC(=O)O)cc2Cl)cccc1-c1ccccc1,527.0200000000002,6.519300000000006,5,2
CHEMBL4640901,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNC(C)(C)C(=O)O)cc2Cl)cccc1-c1cccnc1,10.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNC(C)(C)C(=O)O)cc2Cl)cccc1-c1cccnc1,556.0620000000002,6.692900000000006,6,2
CHEMBL4435975,Cc1c(NC(=O)c2cc(CN3CCN(C)CC3)cn3c(C)nnc23)cccc1-c1ccccc1,10000.0,Cc1c(NC(=O)c2cc(CN3CCN(C)CC3)cn3c(C)nnc23)cccc1-c1ccccc1,454.5780000000001,4.012840000000002,6,1
CHEMBL4546533,CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccccc3)c2C)c2nncn2c1,1487.0,CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccccc3)c2C)c2nncn2c1,442.5230000000002,3.1827200000000007,6,3
CHEMBL4795176,Cc1cc(CN[C@H](CO)C(=O)O)c(OCc2cncc(C#N)c2)cc1NCc1cccc(-c2ccccc2)c1C,12.0,Cc1cc(CN[C@H](CO)C(=O)O)c(OCc2cncc(C#N)c2)cc1NCc1cccc(-c2ccccc2)c1C,536.6320000000002,4.963320000000003,7,4
CHEMBL4643636,CCN1CCN(Cc2ccc3oc(-c4cccc(-c5ccccc5)c4C)cc(=O)c3c2)CC1,10000.0,CCN1CCN(Cc2ccc3oc(-c4cccc(-c5ccccc5)c4C)cc(=O)c3c2)CC1,438.57100000000025,5.572920000000006,4,0
CHEMBL4646794,CC(=O)NCCNCc1ccc2oc(-c3cccc(-c4ccccc4)c3C)cc(=O)c2c1,1400.0,CC(=O)NCCNCc1ccc2oc(-c3cccc(-c4ccccc4)c3C)cc(=O)c2c1,426.5160000000002,4.661120000000004,4,2
CHEMBL4876786,O=C(c1ncc(CNCCO)s1)N1CCc2c(-c3cccc4[nH]ccc34)cccc21,142.4,O=C(c1ncc(CNCCO)s1)N1CCc2c(-c3cccc4[nH]ccc34)cccc21,418.5220000000001,3.576200000000002,5,3
CHEMBL4851678,CS(=O)(=O)NCCNCc1cnc(C(=O)N2CCc3c(-c4ccc5c(c4)OCCO5)cccc32)s1,45.1,CS(=O)(=O)NCCNCc1cnc(C(=O)N2CCc3c(-c4ccc5c(c4)OCCO5)cccc32)s1,514.6290000000004,2.423000000000001,8,2
CHEMBL4089730,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,18.0,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,419.52500000000026,3.8703200000000013,5,2
CHEMBL4645569,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@H](C(=O)O)[C@H](C)O)cc2Cl)cccc1-c1ccccc1,14.1,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@H](C(=O)O)[C@H](C)O)cc2Cl)cccc1-c1ccccc1,571.0730000000002,6.268700000000006,6,3
CHEMBL4634500,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@H](CO)C(=O)O)cc2Cl)cccc1-c1ccncc1,100.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN[C@H](CO)C(=O)O)cc2Cl)cccc1-c1ccncc1,558.0340000000002,5.275200000000004,7,3
CHEMBL4644889,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)O)cc2Cl)cccc1-c1ccncc1,100.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)O)cc2Cl)cccc1-c1ccncc1,582.1000000000004,7.179200000000007,6,1
CHEMBL4642001,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@@H](O)C[C@@H]3CO)cc2Cl)cccc1-c1ccccc1,10.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@@H](O)C[C@@H]3CO)cc2Cl)cccc1-c1ccccc1,569.1010000000003,6.272600000000008,6,2
CHEMBL4551365,N#Cc1c(Nc2nccc3cc(CNCCO)cnc23)cccc1C1=CCCCC1,100.0,N#Cc1c(Nc2nccc3cc(CNCCO)cnc23)cccc1C1=CCCCC1,399.4980000000002,4.284380000000003,6,3
CHEMBL4648251,CC(=O)NCCNCc1ccc2cc(OCc3cccc(-c4ccccc4)c3C)ccc2c1,10000.0,CC(=O)NCCNCc1ccc2cc(OCc3cccc(-c4ccccc4)c3C)ccc2c1,438.57100000000014,5.619920000000005,3,2
CHEMBL4648574,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNCCN)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,100.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CNCCN)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,570.0890000000002,6.164600000000005,7,2
CHEMBL4637935,CC(=O)N1CCN(Cc2ccc3oc(-c4cccc(-c5ccccc5)c4)cc(=O)c3c2)CC1,10000.0,CC(=O)N1CCN(Cc2ccc3oc(-c4cccc(-c5ccccc5)c4)cc(=O)c3c2)CC1,438.5270000000002,4.791100000000005,4,0
CHEMBL4637463,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCC(O)C3)cc2Cl)cccc1-c1ccccc1,10.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCC(O)C3)cc2Cl)cccc1-c1ccccc1,539.0750000000003,6.911700000000008,5,1
CHEMBL4637999,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCC[C@@H]3C(=O)O)cc2Cl)cccc1-c1ccncc1,100.0,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCC[C@@H]3C(=O)O)cc2Cl)cccc1-c1ccncc1,582.1000000000004,7.179200000000007,6,1
